# step	time	FV	KE	PE	n_radicals	n_inert	n_vinyl
5500	1.100000	0.354333	86695.37	613708.45	2	29	71
5550	1.110000	0.335667	89694.45	570241.14	2	29	71
5600	1.120000	0.354333	93171.23	433856.44	2	29	71
5650	1.130000	0.323333	92037.81	636151.81	2	29	71
5700	1.140000	0.334333	94134.12	567361.94	2	29	71
5750	1.150000	0.310667	91495.84	555041.89	2	29	71
5800	1.160000	0.316000	96760.80	689880.53	2	29	71
5850	1.170000	0.330000	84741.61	640355.86	2	29	71
5900	1.180000	0.325333	88323.94	618746.82	2	29	71
5950	1.190000	0.348000	103017.27	545695.02	2	29	71
6000	1.200000	0.345667	100778.92	592163.76	2	29	71
6050	1.210000	0.337333	85880.61	723815.82	2	29	71
6100	1.220000	0.348667	88702.59	554236.28	2	29	71
6150	1.230000	0.338667	94503.95	562509.43	2	29	71
6200	1.240000	0.322667	87413.97	484235.57	2	29	71
6250	1.250000	0.328333	97817.90	507076.41	2	29	71
6300	1.260000	0.372000	103407.74	685755.64	2	29	71
6350	1.270000	0.349000	91058.50	628279.31	2	29	71
6400	1.280000	0.349667	79713.80	622140.09	2	29	71
6450	1.290000	0.352667	86596.00	627825.16	2	29	71
6500	1.300000	0.367333	102066.59	673977.00	2	29	71
6550	1.310000	0.350667	92101.76	628319.10	2	29	71
6600	1.320000	0.334333	91424.01	604777.14	2	29	71
6650	1.330000	0.356667	102799.31	554737.10	2	29	71
6700	1.340000	0.354000	88529.34	702891.47	2	29	71
6750	1.350000	0.330667	80560.35	678611.95	2	29	71
6800	1.360000	0.330000	89787.33	734442.47	2	29	71
6850	1.370000	0.320333	97147.55	741550.57	2	29	71
6900	1.380000	0.326000	92194.79	714336.97	2	30	70
6950	1.390000	0.326333	96938.48	705791.28	2	31	69
7000	1.400000	0.334000	85602.24	853357.13	2	32	68
7050	1.410000	0.343333	95434.15	725794.75	2	32	68
7100	1.420000	0.314333	92173.87	639361.37	2	32	68
7150	1.430000	0.331667	75755.62	727776.12	2	32	68
7200	1.440000	0.357667	86216.52	702736.03	2	32	68
7250	1.450000	0.352333	87093.46	736012.27	2	32	68
7300	1.460000	0.364667	87436.87	653441.36	2	32	68
7350	1.470000	0.370333	97562.27	722897.00	2	32	68
7400	1.480000	0.333667	85089.17	671658.86	2	32	68
7450	1.490000	0.311000	87246.18	654553.33	2	32	68
7500	1.500000	0.340000	79641.59	643689.54	2	32	68
7550	1.510000	0.363667	77475.90	648470.95	2	32	68
7600	1.520000	0.354333	95815.31	606812.60	2	32	68
7650	1.530000	0.345667	82338.02	494210.13	2	33	67
7700	1.540000	0.338667	92295.07	574688.40	2	33	67
7750	1.550000	0.379667	93820.79	591349.39	2	33	67
7800	1.560000	0.348000	90035.69	513684.90	2	34	66
7850	1.570000	0.380000	83605.17	640725.45	2	34	66
7900	1.580000	0.349667	76440.28	645620.60	2	34	66
7950	1.590000	0.326667	85948.74	556489.14	2	34	66
8000	1.600000	0.292333	89492.47	545104.43	2	34	66
8050	1.610000	0.309000	75494.35	621969.96	2	34	66
8100	1.620000	0.314000	85341.27	732221.55	2	34	66
8150	1.630000	0.354000	91652.55	774188.19	2	34	66
8200	1.640000	0.356667	82555.77	814060.25	2	34	66
8250	1.650000	0.333667	80711.71	701772.18	2	34	66
8300	1.660000	0.316333	86300.08	645309.00	2	34	66
8350	1.670000	0.323000	83186.38	599445.81	2	34	66
8400	1.680000	0.334667	91166.26	676859.84	2	34	66
8450	1.690000	0.353000	80277.03	622422.55	2	34	66
8500	1.700000	0.371333	84109.33	505946.03	2	34	66
8550	1.710000	0.384667	94589.96	451359.66	2	34	66
8600	1.720000	0.353667	77827.81	479016.97	2	34	66
8650	1.730000	0.320000	81490.89	590522.89	2	34	66
8700	1.740000	0.352000	95074.72	475498.03	2	34	66
8750	1.750000	0.344333	86419.61	424830.97	2	34	66
8800	1.760000	0.359000	85135.72	499555.87	2	35	65
8850	1.770000	0.346000	82138.61	459862.35	2	35	65
8900	1.780000	0.326667	72830.38	470320.15	2	35	65
8950	1.790000	0.339000	79991.73	424038.10	2	35	65
9000	1.800000	0.339000	89976.70	404793.03	2	35	65
9050	1.810000	0.352000	82366.09	556195.76	2	37	63
9100	1.820000	0.337000	83814.38	517477.40	2	37	63
9150	1.830000	0.359000	80379.08	771489.06	2	38	62
9200	1.840000	0.362333	84816.61	682612.07	2	38	62
9250	1.850000	0.332000	78229.11	727030.67	2	38	62
9300	1.860000	0.322667	75663.50	602857.07	2	38	62
9350	1.870000	0.340667	77050.55	593670.72	2	38	62
9400	1.880000	0.354000	77239.28	455034.55	2	38	62
9450	1.890000	0.358333	79368.76	510748.19	2	38	62
9500	1.900000	0.344000	87161.20	495993.32	2	38	62
9550	1.910000	0.357667	81291.03	523234.25	2	38	62
9600	1.920000	0.350333	72378.66	498853.83	2	38	62
9650	1.930000	0.333333	76608.69	508631.00	2	38	62
9700	1.940000	0.336333	86550.40	589999.66	2	38	62
9750	1.950000	0.328667	73697.15	416627.51	2	38	62
9800	1.960000	0.326667	73768.91	511400.90	2	38	62
9850	1.970000	0.315333	82156.75	570652.56	2	38	62
9900	1.980000	0.307667	78282.05	604849.87	2	38	62
9950	1.990000	0.303667	69782.77	441456.68	2	38	62
